STATEFIP_1940,COUNTYICP_1940,ENUMDIST,CITY_1940,SEX_1940,MARST_1940,BIRTHYR_1940,RACE_1940,LABFORCE_1940,INCWAGE_1940,OCC1950_1940,EDUC_1940,CITIZEN_1940,NATIVITY_1940,NATIVITY_MOM_1940,NATIVITY_POP_1940,step_1940,STATEFIP_1950,COUNTYICP_1950,CITY_1950,SEX_1950,MARST_1950,BIRTHYR_1950,RACE_1950,LABFORCE_1950,INCWAGE_1950,INCTOT,OCC1950_1950,EDUC_1950,CITIZEN_1950,NATIVITY_1950,NATIVITY_MOM_1950,NATIVITY_POP_1950,step_1950
8,10,100100,0,2,6,1937,5,0,999999,999,0,0,0,0,0,2,8,10,0,2,6,1937,5,9,999999,9999999,999,0,0,4,0,5,2
8,10,100100,0,2,1,1918,5,1,0,982,6,0,0,NA,NA,2,6,370,3730,2,1,1918,5,1,0,0,999,6,0,4,NA,NA,2
8,30,200130,0,1,1,1886,5,2,0,100,99,3,0,NA,NA,1,8,30,0,1,1,1887,5,2,999999,9999999,100,0,3,0,NA,NA,1
8,30,200130,0,2,1,1899,5,1,0,999,99,3,0,NA,NA,2,8,30,0,2,1,1900,5,2,999999,9999999,830,0,3,0,NA,NA,2
8,30,200130,0,1,6,1928,5,0,999999,999,99,0,4,0,0,1,8,30,0,1,6,1929,5,2,999999,9999999,490,0,0,0,0,0,1
8,30,200130,0,2,6,1934,5,0,999999,999,99,0,0,0,0,2,8,30,0,2,6,1933,5,1,0,0,999,3,0,4,0,0,2
8,30,200130,0,1,6,1937,5,0,999999,999,99,0,0,0,0,1,8,30,0,1,6,1938,5,9,999999,9999999,999,0,0,0,0,0,1
8,50,300100,0,1,1,1872,5,2,0,100,2,3,0,NA,NA,1,8,50,0,1,1,1872,5,1,999999,9999999,999,0,3,0,NA,NA,1
8,50,300100,0,2,1,1891,5,2,0,830,2,3,0,NA,NA,2,8,50,0,2,1,1890,5,1,999999,9999999,999,0,3,0,NA,NA,2
8,50,300100,0,2,6,1929,5,0,999999,999,2,0,0,0,0,2,8,50,0,2,6,1929,5,1,999999,9999999,999,0,0,0,0,0,2
8,50,300100,0,1,6,1934,5,0,999999,999,0,0,0,0,0,1,8,50,0,1,6,1934,5,1,0,0,999,5,0,4,0,0,1
8,50,300280,0,1,1,1881,5,2,1200,123,6,3,5,NA,NA,1,8,50,0,1,1,1880,5,2,999999,9999999,100,0,3,0,NA,NA,1
8,50,300280,0,2,1,1881,5,1,0,999,2,3,0,NA,NA,2,8,50,0,2,1,1881,5,1,999999,9999999,999,0,3,0,NA,NA,2
